net,length_um
_0120_,4.42µm
_0466_,4.42µm
_0522_,4.365µm
_0204_,4.36µm
_0311_,4.34µm
_0425_,4.34µm
_0472_,4.34µm
net156,4.34µm
net160,4.34µm
net355,4.34µm
_0053_,4.22µm
_0487_,4.14µm
net287,4.14µm
net370,4.14µm
_0007_,4.12µm
_0036_,4.12µm
_0323_,4.1µm
_0113_,4.08µm
_0122_,4.08µm
_0127_,4.08µm
_0163_,4.08µm
_0166_,4.08µm
net146,4.08µm
net233,4.08µm
_0366_,4µm
_0367_,4µm
net190,4µm
_0103_,3.9µm
_0065_,3.88µm
_0421_,3.88µm
_0033_,3.86µm
net229,3.78µm
_0012_,3.76µm
_0195_,3.76µm
_0419_,3.76µm
add_stage1.a\[0\],3.68µm
add_stage3.a\[6\],3.68µm
_0070_,3.66µm
net152,3.66µm
net348,3.66µm
_0086_,3.56µm
_0114_,3.56µm
_0130_,3.56µm
_0263_,3.56µm
net242,3.56µm
_0006_,3.54µm
_0028_,3.54µm
_0034_,3.54µm
_0068_,3.54µm
_0087_,3.54µm
_0093_,3.54µm
_0172_,3.54µm
_0297_,3.54µm
coeff4\[1\],3.54µm
window0\[6\],3.54µm
net205,3.54µm
_0289_,3.47µm
_0241_,3.44µm
_0473_,3.4µm
net312,3.32µm
net337,3.32µm
_0030_,3.3µm
_0322_,3.3µm
_0408_,3.3µm
_0454_,3.3µm
_0154_,3.225µm
_0325_,3.22µm
_0348_,3.22µm
net308,3.22µm
net363,3.22µm
net364,3.22µm
net365,3.22µm
_0011_,3.2µm
_0017_,3.2µm
_0040_,3.2µm
_0046_,3.2µm
_0055_,3.2µm
_0137_,3.2µm
_0160_,3.2µm
_0174_,3.2µm
_0194_,3.2µm
net186,3.2µm
net321,3.2µm
_0091_,3.18µm
_0428_,3.18µm
_0467_,3.18µm
_0002_,3.08µm
_0020_,3.08µm
_0022_,3.08µm
_0080_,3.08µm
_0111_,3.08µm
_0145_,3.08µm
_0156_,3.08µm
_0164_,3.08µm
_0170_,3.08µm
_0176_,3.08µm
_0178_,3.08µm
_0198_,3.08µm
_0200_,3.08µm
_0237_,3.08µm
_0280_,3.08µm
add_stage1.a\[6\],3.08µm
add_stage1.a\[7\],3.08µm
add_stage2.a\[1\],3.08µm
_0151_,3.06µm
_0264_,3.06µm
_0051_,2.96µm
_0245_,2.96µm
_0379_,2.96µm
_0477_,2.96µm
_0508_,2.96µm
_0063_,2.925µm
_0300_,2.86µm
net266,2.86µm
net285,2.86µm
_0064_,2.84µm
_0155_,2.84µm
_0159_,2.84µm
_0401_,2.84µm
net140,2.84µm
net272,2.84µm
_0247_,2.76µm
net166,2.76µm
net226,2.76µm
net259,2.76µm
net273,2.76µm
net344,2.76µm
_0008_,2.74µm
_0021_,2.74µm
_0038_,2.74µm
_0042_,2.74µm
_0071_,2.74µm
_0073_,2.74µm
_0142_,2.74µm
_0169_,2.74µm
net180,2.74µm
net194,2.74µm
net144,2.64µm
net330,2.64µm
_0025_,2.62µm
_0044_,2.62µm
_0050_,2.62µm
_0052_,2.62µm
_0056_,2.62µm
_0060_,2.62µm
_0067_,2.62µm
_0097_,2.62µm
_0104_,2.62µm
_0126_,2.62µm
_0135_,2.62µm
_0139_,2.62µm
